Waktu,Provinsi,Korban meninggal,Korban luka-luka, Total Korban Jiwa
17 Janyari 2016,Maluku,1,1,2
12 February 2016,NTT,-,-,-
24 February 2016,Maluku Utara,-,1,1
31 March 2016,NTB,-,-,-
10 April 2016,Bengkulu,-,-,-
2 June 2016,Sumatra Barat,1,18,19
8 June 2016,Maluku Utara,-,-,-
1 August 2016,NTB,-,-,-
6 November 2016,Jawa Barat,-,1,1
16 November 20216,Jawa Timur,-,-,-
7 December 2016,Aceh,104,947,1051
16 January 2017,Sumatera Utara,-,-,-
8 March 2017,Maluku Utara,-,-,-
22 March 2017,Bali,-,1,1
24 April 2017,Jawa Barat,-,-,-
29 May 2017,Sulawesi Tengah,-,24,24
14 July 2017,Sumatera Utara,-,1,1
15 July 2017,Gorontalo,-,-,-
18 July 2017,Jawa Barat,-,-,-
27 July 2017,Maluku,-,-,-
13 August 2017,Bengkulu,-,-,-
1 September 2017,Sumatera Barat,-,-,-
28 September 2017,Maluku Utara,-,2,2
10 October 2017,NTT,-,-,-
28 October 0217,Papua,-,-,-
31 October 2017,Maluku,-,-,-
18 November 2017,Maluku Utara,1,-,1
25 November 2017,Sulawesi Tengah,-,-,-
6 December 2017,Bengkulu,-,1,1
15 December 2017,Jawa Barat,4,36,40
23 January 2018,Banten,-,8,8
8 February 2018,Aceh,-,-,-
25 February 2018,Papua,-,-,-
15 April 2018,Maluku Utara,-,-,-
18 April 2018,Jawa Tengah,2,21,23
13 June 2018,Jawa Timur,-,3,3
7 July 20108,Jawa Barat,-,-,-
21 July 2018,Jawa Timur,1,2,3
28 July 2018,NTB ,564,1584,2148
28 September 2018,Sulawesi Tengah,1,10,11
2 October 2018,NTT,-,-,-
9 October 2018,Sulawesi Selatan,-,-,-
10 October 2018,Jawa Timur,-,1,1
5 November 2018,Sulawesi Barat,-,-,-
6 December 2018,NTB,-,-,-
16 December 2018,Sulawesi Selatan,-,-,-
22 December 2018,Banten,431,7200,7631
28 December 2018,Papua Barat ,-,-,-
